en-cat	cat	en-sp	sp
Assets subject to depreciation are reviewed where some event or change in	Els actius subjectes a amortització se sotmeten a revisió sempre que algun	Assets subject to depreciation are reviewed where some event or change in	coste, más los desembolsos posteriores, menos la amortización acumulada y las
circumstances may involve their accounting value becoming non-recoverable.	succés o canvi en les circumstàncies pot implicar que el valor comptable no	circumstances may involve their accounting value becoming non-recoverable.	correcciones valorativas por deterioro.
Valuation adjustments for impairment are made when the asset's recoverable	sigui recuperable. Les correccions valoratives per deteriorament es practiquen	Valuation adjustments for impairment are made when the asset's recoverable amount is below its net depreciation value, and that generally occurs because	Los activos sujetos a amortización se someten a revisión siempre que algún suceso o cambio en las circunstancias puede implicar que el valor contable no sea recuperable. Las correcciones valorativas por deterioro se practican cuando el importe recuperable del activo (valor razonable) es inferior a su valor neto de amortizaciones, lo que sucede, generalmente, por deterioro físico sobrevenido, obsolescencia acelerada o disminución del rendimiento esperado inicialmente.
amount is below its net depreciation value, and that generally occurs because	quan l'import recuperable de l'actiu (valor raonable) és inferior al seu valor net	
of physical impairment, obsolescence or a reduction in the initially expected performance. Assets that have suffered an impairment loss are regularly reviewed for possible reversals of impairment losses.	d'amortitzacions, i que succeeix, generalment, per: deteriorament físic sobrevingut, obsolescència accelerada o disminució del rendiment esperat inicialment. Els actius que han sofert una pèrdua per deteriorament se sotmeten a revisions regulars per si s'haguessin produït reversions de la pèrdua.	of physical impairment, obsolescence or a reduction in the initially expected	Los activos que han sufrido una pérdida por deterioro se someten a revisiones regulares por si se hubieran producido reversiones de la pérdida.
	performance. Assets that have suffered an impairment loss are regularly reviewed for possible reversals of impairment losses.	Los costes de ampliación, modernización o mejora se incorporan al activo como mayor valor del bien cuando suponen un aumento de su capacidad, productividad o alargamiento de su vida útil.
Extension, modernisation or improvement costs are capitalised as an increase in	Els costos d'ampliació, modernització o millora s'incorporen a l'actiu com a major	Extension, modernisation or improvement costs are capitalised as an increase in	Los costes de grandes reparaciones, inspecciones o restauraciones importantes se activan y se amortizan durante la vida útil de estas.
asset value where they increase its capacity or productivity or extend its useful life.	valor del bé quan suposen un augment de la seva capacitat, productivitat o	asset value where they increase its capacity or productivity or extend its useful life.	La entidad no suele llevar a cabo trabajos con personal propio que sean
Costs for major repairs, inspections or major restorations are capitalised and		Costs for major repairs, inspections or major restorations are capitalised and	
depreciated over their useful lives.	allargament de la seva vida útil.	depreciated over their useful lives.	
The City Council does not usually use its own staff to carry out work that is subject to capitalisation.	Els costos de grans reparacions, inspeccions o restauracions importants s'activen i s'amortitzen durant la vida útil d'aquestes.	The City Council does not usually use its own staff to carry out work that is subject to capitalisation.	
Where the ownership or use of a property requires the site's dismantling and	L'Ajuntament no sol portar a terme treballs amb personal propi que siguin	Where the ownership or use of a property requires the site's dismantling and	susceptibles de activación.
restoration, these costs are capitalised and depreciated over the period that the property's financial returns or service potential is expected to be obtained.	susceptibles d'activació. En cas que la propietat o ús d'un terreny exigeixi el desmantellament i rehabilitació de l'emplaçament, aquests costos s'activen i s'amortitzen en el període que es prevegi obtenir rendiments econòmics o potencial de servei del terreny.	restoration, these costs are capitalised and depreciated over the period that the property's financial returns or service potential is expected to be obtained.	En caso de que la propiedad o el uso de un terreno exijan el desmantelamiento y la rehabilitación del emplazamiento, estos costes se activarán y se amortizarán en el periodo en que se prevea obtener rendimientos económicos o potencial de servicio del terreno.
Indications of impairment were evaluated at the close of the financial year for elements of fixed assets bringing in future financial revenue, taking the following circumstances into account:	Al tancament de l'exercici s'han avaluat els indicis de deteriorament dels elements dels immobilitzats portadors de rendiments econòmics futurs tenint en compte les següents circumstàncies:	Indications of impairment were evaluated at the close of the financial year for elements of fixed assets bringing in future financial revenue, taking the following circumstances into account:	Al cierre del ejercicio se han evaluado los indicios de deterioro de los elementos de los inmovilizados portadores de rendimientos económicos futuros teniendo en cuenta las siguientes circunstancias:
• There were no significant changes to the technological or legal environment during the financial year or which were expected to occur in the short term and which would have a negative impact on the City Council.	• No hi ha hagut canvis significatius de l'entorn tecnològic o legal durant l'exercici o que s'esperi que es produeixin a curt termini i que tinguin una incidència negativa a l'Ajuntament.	• There were no significant changes to the technological or legal environment during the financial year or which were expected to occur in the short term and which would have a negative impact on the City Council.	• No ha habido cambios significativos del entorno tecnológico o legado durante el ejercicio o que se espere que se produzcan a corto plazo y que tengan una incidencia negativa en el Ayuntamiento.
